song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence,time_signature,popularity,Stream,track_id
Sang Tu Majhach Na,Asha Bhosle,/artist/asha-bhosle-1,272000,Marathi,07-08-2001,0.44,0.913,0.121,0.699,-10.873,0.0426,128.707,1,5,0.05,4,72,309984,2k15M4Aa7gSsada0YRIwez
Bilanshi Nagin Nighali,Uttara Kelkar,/artist/uttara-kelkar,277000,Marathi,11-03-2023,0.97,0.52,0.817,0.551,-7.048,0.04,132.024,0,1,0.0035,4,33,11227546,43NNj7L0Nt3cZIbg2vs2a9
Bai Mi Patang Udvit Hote,Asha Bhosle,/artist/asha-bhosle-1,219000,Marathi,09-03-2018,0.08,0.176,0.317,0.554,-11.033,0.046,127.983,0,10,0.0575,4,56,6628193,56HlLMi6SYrnzXcHgsD7CB
Kunitari Yenar,Anuradha Paudwal|Uttara Kelkar|Suhasini,/artist/anuradha-paudwal-2|/artist/uttara-kelkar|/artist/suhasini,282000,Marathi,03-04-2005,0.18,0.29,0.082,0.785,-4.79,0.04,130.902,0,6,0.092,4,90,10595629,3PBfPjnibJagFAi61o6aES
Gala Varchi Khali Tujhya,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,381000,Marathi,05-08-2020,0.19,0.087,0.46,0.952,-6.548,0.0949,127.998,1,1,0.054,4,27,8613843,7niEqmUQvRp2jp50T134Rm
Tujhi Majhi Jodi Jamlee,Kishore Kumar|Anuradha Paudwal,/artist/kishore-kumar|/artist/anuradha-paudwal-2,319000,Marathi,07-03-2007,0.6,0.85,0.287,0.097,-11.936,0.068,137.971,0,1,0.0254,4,65,5014622,1ZeGfA89FGshIQPkA3E5PG
Dhundi Kalyana,Sudhir Phadke|Asha Bhosle,/artist/sudhir-phadke|/artist/asha-bhosle-1,218000,Marathi,02-08-2021,0.61,0.773,0.255,0.449,-8.707,0.04,128,0,4,0.0167,4,76,9141140,3qdMMDpmv5njU2dY77X9Qx
Solava Varis Dhokyacha,Sulochana Chavan,/artist/sulochana-chavan,206000,Marathi,08-09-2019,0.45,0.81,0.821,0.986,-5.905,0.028,135.996,0,1,0.094,4,45,6919479,1KinXCjdnq2rgONd8P6REc
Sakhi Mand Jhalya Taarka,Sudhir Phadke,/artist/sudhir-phadke,346000,Marathi,01-11-2006,0.49,0.375,0.171,0.239,-7.3,0.09,131.987,0,1,0.043,4,85,9839170,7ASemZTd4y9svGqu62j87z
Dehachi Tijori,Sudhir Phadke,/artist/sudhir-phadke,181000,Marathi,07-06-2001,0.75,0.845,0.687,0.35,-2.461,0.025,137.982,1,2,0.088,4,39,3446576,4D6IM9HPYRnsohLFgWeD8w
Aala Aala Vara,Asha Bhosle|Anuradha Paudwal,/artist/asha-bhosle-1|/artist/anuradha-paudwal-2,308000,Marathi,07-11-2005,0.8,0.38,0.173,0.583,-13.623,0.074,137.992,0,10,0.086,4,50,6057697,3EVtH0QNldqN4Aytmkh1Zc
Kunya Gavach Aala Pakharu,Usha Mangeshkar,/artist/usha-mangeshkar-2,323000,Marathi,01-08-2003,0.8,0.294,0.781,0.127,-5.559,0.097,137.998,0,0,0.024,4,33,2183933,4O8GL7DTWErEJ4bawKDer1
Hi Pavhani Kashi Aali Bagha,Pralhad Shinde,/artist/pralhad-shinde-1,439000,Marathi,11-10-2008,0.01,0.11,0.625,0.69,-10.33,0.078,130.016,0,9,0.0521,4,27,2948274,5I51nfGx6CgaIW4o88CAiG
Hil Hil Pori Hila,Jaywant Kulkarni|Usha Mangeshkar,/artist/jaywant-kukarni|/artist/usha-mangeshkar-2,214000,Marathi,06-02-2020,0.15,0.01,0.959,0.221,-7.325,0.06,137.983,0,9,0.015,4,32,8830568,5TSTuJiN3khl3UXq5JsR2x
Sakhar Zopemadhi Mee Asata,Dada Kondke|usha Chavan,/artist/dada-kondke|/artist/usha-chavan,235000,Marathi,06-12-2012,0.34,0.423,0.959,0.158,-12.047,0.0116,137.991,1,1,0.0174,4,100,464847,7DJpue54aq2pLOcpGJUj7r
Utha Utha Shree Sainatha,Pandurang Dixit|Radharaman Kirtane,/artist/pandurang-dixit|/artist/radharaman-kirtane,171000,Marathi,04-01-2013,0.12,0.21,0.465,0.542,-8.608,0.048,129.987,1,7,0.0929,4,29,10071407,7bGzXxUENyaDZuYOeSbAVf
Sajana Mohana Rajasa,Suresh Wadkar|Jyotsna Hardikar,/artist/suresh-wadkar|/artist/jyotsna-hardikar,301000,Marathi,01-01-2001,0.95,0.813,0.809,0.299,-2.64,0.09,139.999,1,6,0.0214,4,88,10873222,32tNPz5zM1CmFJ683JbR6D
Tinak Dhin Tandana,Anuradha Paudwal,/artist/anuradha-paudwal-2,241000,Marathi,05-11-2008,0.57,0.86,0.269,0.8,-4.357,0.093,138,1,8,0.0121,4,60,6701206,11GlvjoWJKJdJDsClcVFL3
Chabidar Chabi,Usha Mangeshkar,/artist/usha-mangeshkar-2,208000,Marathi,07-02-2021,0.12,0.719,0.482,0.952,-8.209,0.041,127.94,0,1,0.009,4,44,1090337,6TdytSizJbUXklfelMQPb9
Dol Dolatay Varyav,Shrikant Narayan|Veena Bamne,/artist/shrikant-narayan|/artist/veena-bamne,307000,Marathi,06-09-2022,0.91,0.61,0.242,0.653,-12.683,0.07,130.66,0,0,0.021,4,65,2199090,504uv5IaRcVpKnMFDlIh8D
Kalya Matit Matit,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,353000,Marathi,12-02-2004,0.63,0.921,0.283,0.804,-10.622,0.0283,138.018,0,5,0.1,4,89,6895243,4mH1QUwiYvSXKU7TZNucoc
Vithoo Mauli Tu,Sudhir Phadke|Suresh Wadkar|Jaywant Kulkarni,/artist/sudhir-phadke|/artist/suresh-wadkar|/artist/jaywant-kukarni,315000,Marathi,04-10-2002,0.66,0.61,0.943,0.579,-2.08,0.0491,132.053,0,5,0.044,4,73,10601387,5G09l6HsrZtQ2vZKJEcqZR
Kay Ga Sakhoo,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,222000,Marathi,09-01-2007,0.95,0.451,0.34,0.784,-4.776,0.03,137.99,0,0,0.044,4,83,11173906,3w9Lb6l5yekoDrTjmZKiYq
Dhundi Kalyana,Sudhir Phadke|Asha Bhosle,/artist/sudhir-phadke|/artist/asha-bhosle-1,218000,Marathi,09-02-2011,0.8,1,0.756,0.861,-12.359,0.0206,137.96,0,11,0.0021,4,54,3948619,3qdMMDpmv5njU2dY77X9Qx
Ye Na Shaalu,Asha Bhosle|Shailendra Singh,/artist/asha-bhosle-1|/artist/shailendra-singh,199000,Marathi,10-04-2019,0.76,0.519,0.197,0.38,-3.993,0.078,134.999,1,9,0.02,4,64,10025205,1q3oQzjqQzgTTIlP4Nw5Df
Gomu Sangtina Mazya,Asha Bhosle|Hemant Kumar,/artist/asha-bhosle-1|/artist/hemanta-mukherjee,262000,Marathi,12-11-2000,0.33,0.93,0.866,0.271,-7.583,0.046,128.017,0,6,0.04,4,52,10455596,7pQoVrSWEVmzzhdPg6ctBg
Sadhi Bholi Meera,Asha Bhosle,/artist/asha-bhosle-1,360000,Marathi,03-09-2001,0.3,0.747,0.597,0.848,-11.248,0.02,135.999,1,10,0,4,73,1032915,5HrnjV97NOTkXIymdONeSa
Jambhul Pikalya Zadakhali,Asha Bhosle|Ravindra,/artist/asha-bhosle-1|/artist/ravindra,253000,Marathi,12-05-2016,0.9,0.51,0.462,0.975,-8.839,0.06,137.967,0,11,0.003,4,54,4063217,6Uyf7emGFVUjHdZrK6AxbF
Mala Ek Chanas Hava,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,199000,Marathi,11-01-2014,0.9,0.656,0.178,0.643,-4.901,0.0712,137.954,1,5,0.04,4,26,11369133,37MpmCtSOZr4AHps0q9TJH
Dhundit Gau Mastit Raahu,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,353000,Marathi,08-12-2016,0.36,0.27,0.512,0.483,-7.864,0.0798,138.028,1,2,0.079,4,65,10717550,6Z6mCHg54XLlFKoAyZWI2B
Halke Halke Jojava Balacha Palna,Usha Mangeshkar,/artist/usha-mangeshkar-2,196000,Marathi,06-01-2007,0.89,0.239,0.776,0.106,-8.13,0.0697,138.001,0,9,0.04,4,82,882117,3YySZeHgHC8SYO6kFtjVJb
Nabh Utaru Aala,Asha Bhosle,/artist/asha-bhosle-1,342000,Marathi,04-12-2006,0.53,0.97,0.657,0.088,-12.565,0.06,135.999,1,9,0.001,4,84,1703410,5Rwv7gFtoN2pbxBTYBBJ5V
Tujhya Patangachi Dori,Jaywant Kulkarni|Uttara Kelkar,/artist/jaywant-kukarni|/artist/uttara-kelkar,260000,Marathi,02-02-2003,0.37,0.517,0.625,0.641,-8.22,0.056,134.991,0,8,0.059,4,32,6938189,1y9V628UndzOtNGrlXEbK3
Bolava Vithal Pahava Vithal,Kishori Amonkar,/artist/kishori-amonkar,463000,Marathi,03-01-2003,0.94,0.62,0.829,0.019,-11.994,0.0304,126.103,0,7,0.03,4,72,9146880,50zYwZKHMaDCpuQ3tzQ3Ws
Airaneechya Deva Tula,Lata Mangeshkar,/artist/lata-mangeshkar,214000,Marathi,10-03-2018,0.31,0.09,0.856,0.457,-9.455,0.0018,129.239,0,2,0.01,4,62,7964454,35DQDyydsRgOqeK8FSTYN1
Mee Tar Bholi Adani Thakoo,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,182000,Marathi,05-05-2009,0.66,0.121,0.003,0.064,-13.432,0.01,138.031,1,1,0.092,4,76,5563442,2y9r93YrSLIBXAxStBkryj
Avagha Rang Ek Jhala,Kishori Amonkar,/artist/kishori-amonkar,338000,Marathi,08-03-2011,0.65,0.76,0.525,0.702,-11.633,0.0184,138.04,0,10,0.09,4,44,5424493,5llk7fYJEZSm509EUSjlmE
Nishana Tula Dislana,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,353000,Marathi,08-11-2015,0.49,0.657,0.654,0.272,-4.266,0.095,138.017,0,5,0.002,4,34,9164672,1wFtSOgdjCtOWZJPPMBS8w
Vara Gai Gaane,Lata Mangeshkar,/artist/lata-mangeshkar,292000,Marathi,03-05-2018,0.2,0.672,0.115,0.04,-10.202,0.04,137.974,0,6,0.06,4,41,8138084,3sqYsbU2N6RxgO7885fAYG
Geli Kuth Gavana,Usha Mangeshkar,/artist/usha-mangeshkar-2,301000,Marathi,11-11-2017,0.4,0.49,0.462,0.32,-3.399,0.003,128,0,10,0.03,4,29,4885884,1UhlIMJB2OzLEbej86Z9KD
Ye Re Ghana,Asha Bhosle,/artist/asha-bhosle-1,215000,Marathi,11-03-2018,0.14,0.911,0.971,0.526,-5.352,0.06,134.993,1,5,0.069,4,30,5125606,4mdGdWXs45v42OFghiZIep
Gangoo Tarunya Tujh Befam,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,368000,Marathi,08-08-2022,0.25,0.24,0.128,0.338,-5.989,0.02,127.931,1,8,0.02,4,57,10468290,6BpzSsiQquvsKcaITLUiZG
Gaau Sakhya Prit Gaani,Anuradha Paudwal|Shabbir Kumar,/artist/anuradha-paudwal-2|/artist/shabbir-kumar,280000,Marathi,07-06-2002,0.51,0.606,0.51,0.966,-9.658,0.02,140.021,0,2,0.06,4,78,4224112,1XhjmwNSJVRkhvv1NIuzOY
Shambharachi Note,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,194000,Marathi,03-09-2001,0.16,0.77,0.34,0.984,-10.998,0.0898,125.995,0,11,0.03,4,61,4558325,55V3VtK4vEIjk2sAPaKtI7
Ashwani Ye Na,Kishore Kumar|Anuradha Paudwal,/artist/kishore-kumar|/artist/anuradha-paudwal-2,300000,Marathi,04-06-2013,0.99,0.16,0.499,0.239,-12.42,0.08,128.005,0,5,0.02,4,41,4373628,2aHpodyIlluRmoAyNR3u5C
Sainatha Guru Majhe,Pandurang Dixit|Radharaman Kirtane,/artist/pandurang-dixit|/artist/radharaman-kirtane,32000,Marathi,12-06-2015,0.18,0.228,0.624,0.549,-10.683,0.01,132.052,1,1,0.1,4,42,1883700,6xHOG4gY9sPLXI27Pbyteh
Hi Navri Asli,Sachin|Anuradha Paudwal,/artist/sachin|/artist/anuradha-paudwal-2,304000,Marathi,05-12-2018,0.1,0.75,0.217,0.576,-11.526,0.0544,128.013,1,9,0.04,4,43,9492400,1C21SNrVGrZvh2JA6aSmtA
Tu Sukhkarta Tu Dukh Harta,Rani Varma|Dr. Vasantrao Deshpande,/artist/rani-varma|/artist/dr-vasantrao-deshpande-1,304000,Marathi,01-02-2013,0.63,0.396,0.993,0.048,-9.341,0.0563,132.045,1,0,0.07,4,52,5617448,4WsDFOob1LCupVSr89zubS
Uthi Uthi Gopala,Pt. Kumar Gandharva,/artist/pt-kumar-gandharva-1,388000,Marathi,08-03-2005,0.71,0.36,0.169,0.47,-12.095,0.098,135.998,1,2,0.0363,4,68,3336229,4UsNNKzfrPBp3np4Eiznat
Malmali Tarunya Maaze,Asha Bhosle,/artist/asha-bhosle-1,376000,Marathi,03-10-2022,0.04,0.853,0.58,0.448,-9.164,0.0707,127.702,1,6,0.1,4,94,3887177,1uH5q9NlKi26Zz4DzGLmfY
Antichi Ghanti Vajavali,Anand Shinde,/artist/anand-shinde,390000,Marathi,02-05-2006,0.04,0.07,0.411,0.669,-7.336,0.053,125.015,1,1,0.02,4,75,5876863,7JVvNoArwpUzID5C7BFxOL
Disla Ga Bai Disla,Usha Mangeshkar,/artist/usha-mangeshkar-2,304000,Marathi,01-11-2006,0.68,0.91,0.438,0.061,-9.149,0.0058,128.006,0,1,0.083,4,81,4312695,2PnRHZdiYUbywWxLeSoHrc
Tyachi Maazi Preet,Asha Bhosle,/artist/asha-bhosle-1,276000,Marathi,07-07-2005,0.35,0.96,0.713,0.921,-11.092,0.02,139.996,0,0,0.09,4,78,3002733,1mZ7LySbLF78no8DXX6bRF
Mhora Ho Gangubai,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,202000,Marathi,01-02-2022,0.97,0.462,0.3,0.927,-10.711,0.03,129.977,1,7,0.046,4,47,1283354,6tcbpYznnt58JHWmx9H9Lt
Jaise Jayache Karm,Pralhad Shinde,/artist/pralhad-shinde-1,193000,Marathi,07-05-2012,0.81,0.64,0.327,0.765,-11.708,0.012,137.992,1,9,0.0332,4,31,5603813,7d4r97MgKuaYtFp9EI1zZC
Ya Pandhriche Sukh,Kishori Amonkar,/artist/kishori-amonkar,379000,Marathi,05-11-2010,0.96,0.447,0.83,0.936,-4.782,0.046,134.992,0,9,0.0923,4,75,3619517,0pnHScJ90Xo6qYz3Htthk4
Raya Mala Pavsat Neu Naka,Pushpa Pagdhare,/artist/pushpa-pagdhare,209000,Marathi,01-02-2009,0.65,0.73,0.889,0.592,-4.656,0.01,129.961,1,5,0.0921,4,60,10714606,4mEEIFclurk0ICjEbmFcG1
Aai Mala Nesav Shalu Nava,Sulochana Chavan,/artist/sulochana-chavan,213000,Marathi,12-08-2014,0.05,0.902,0.219,0.491,-7.538,0.099,137.954,0,7,0.042,4,100,8590715,2W84uj4lyofWVWKfWt0ul3
Aali Naar Thumkat Murdat,Wagya,/artist/wagya,221000,Marathi,02-09-2019,0.11,0.31,0.623,0.086,-8.364,0.03,128.016,0,9,0.002,4,59,9823100,0ggsUem5P8qsBxM0POtIqI
Aga Rani,Usha Mangeshkar|Mahendra Kapoor,/artist/usha-mangeshkar-2|/artist/mahendra-kapoor,284000,Marathi,12-05-2019,0.18,0.248,0.345,0.228,-5.756,0.0196,138.075,0,9,0.05,4,33,5467653,1EXKt08PlbQsiBrh2amkEV
Devas Tujhe He Phulayache - Duet,Arun Date|Sudha Malhotra,/artist/arun-date|/artist/sudha-malhotra,192000,Marathi,05-12-2018,0.21,0.371,0.674,0.264,-10.051,0.0566,137.999,1,7,0.0906,4,95,2713474,2VjqhF2yNQPMcrtG2mcf9s
Jodi Bailanchi Khillari,Mahendra Kapoor,/artist/mahendra-kapoor,266000,Marathi,05-01-2018,0.6,0.25,0.18,0.215,-7.281,0.031,133.79,0,11,0.03,4,85,10294024,7jRsd8FYBVujHxiZv7wwXP
Ekach Hya Janmi Janu,Asha Bhosle,/artist/asha-bhosle-1,263000,Marathi,08-10-2003,0.48,0.63,0.043,0.643,-4.146,0.055,133.33,0,9,0.033,4,39,6416493,1ncKot6JVbADfRWi29BqKs
Aali Majhya Ghari Hi Diwali,Anuradha Paudwal,/artist/anuradha-paudwal-2,294000,Marathi,06-10-2015,0.52,0.683,0.222,0.217,-6.335,0.0588,129.394,1,0,0.02,4,73,227247,2LrNUCPJ0sDhmtR4bYPeFG
Lingobacha Dongur,Chandrakant Kale|Ravindra,/artist/chandrakant-kale|/artist/ravindra,125000,Marathi,11-02-2007,0.04,0.12,0.543,0.698,-12.67,0.061,128.051,0,11,0.002,4,92,3827693,46E4KuISbAAf1Swg2ykCQq
Akkalkot Swamichi Palkhi,Suresh Wadkar,/artist/suresh-wadkar,411000,Marathi,08-08-2007,0.19,0.852,0.944,0.994,-13.663,0.0113,138.004,1,7,0.0955,4,92,988180,3Oe5nQJcM1BTJ2QNtpbmFk
Runanubandhachya,Pt. Kumar Gandharva|Vani Jairam,/artist/pt-kumar-gandharva-1|/artist/vani-jayaram,383000,Marathi,12-08-2012,0.15,0.617,0.905,0.829,-12.512,0.02,138.007,0,6,0.022,4,76,7144992,2sdPVXWPu3Dta4j57vabdA
Ya Chimanyano,Lata Mangeshkar,/artist/lata-mangeshkar,198000,Marathi,04-06-2018,0.99,0.57,0.862,0.636,-7.713,0.01,133.012,1,1,0.016,4,78,934256,2TewCsGJt57PJeof63Hos0
Whiskichi Batli,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,215000,Marathi,02-01-2010,0.71,0.64,0.687,0.24,-9.738,0.05,128.007,0,0,0.012,4,91,9873760,0iptP0zcfdcm6P63a2bMIL
Aai Majhya Lagnachi,Usha Mangeshkar,/artist/usha-mangeshkar-2,185000,Marathi,04-12-2019,0.53,0.16,0.496,0.67,-10.665,0.0933,128.033,0,4,0.09,4,53,4974865,5kUaVfubKVPY59VJOUvVSr
Ag Daar Ughad,Anand Shinde,/artist/anand-shinde,364000,Marathi,04-01-2005,0.86,0.309,0.06,0.909,-7.628,0.0645,137.991,0,6,0.08,4,90,4522086,1TA0288fXNIbhT1KZlwjrr
Pikala Jambhul Todu Naka,Usha Mangeshkar,/artist/usha-mangeshkar-2,188000,Marathi,09-05-2007,0.89,0.792,0.076,0.735,-3.402,0.01,141.054,0,5,0.04,4,68,6124623,4UDF9TS9tbmVEZ2hkwHXjg
Majhyach Mage Kiti Lagshil Tu,Uttara Kelkar|Vinay Mandke,/artist/uttara-kelkar|/artist/vinay-mandke,210000,Marathi,05-11-2017,0.05,0.8,0.654,0.263,-6.572,0.03,138.005,0,11,0.0253,4,84,2304708,2xsJuKKtq9hUM4ZaMpW2j9
Disate Majla Sukh Chitra Nave,Anuradha Paudwal,/artist/anuradha-paudwal-2,295000,Marathi,06-01-2008,0.62,0.25,0.393,0.85,-10.108,0.04,138.009,1,11,0.06,4,38,4891554,501INStU3jny77krVLYK1X
Aandhalepanas,Asha Bhosle,/artist/asha-bhosle-1,185000,Marathi,03-03-2002,0.25,0.615,0.974,0.319,-3.819,0.0353,129.247,0,9,0.03,4,86,4306055,0qinZpfzXDTMJ7sHLgurCR
Prem Karuya Khullam Khulla,Vinay Mandke|Anupama Deshpande,/artist/vinay-mandke|/artist/anupama-deshpande,254000,Marathi,12-10-2020,0.59,0.28,0.579,0.948,-2.622,0.08,138,1,3,0.06,4,51,8665249,5aiLAi9B12QDC15ZkXCn9O
Naath Ha Majha Mohi Khala,Manik Varma,/artist/manik-varma,193000,Marathi,08-11-2011,0.55,0.809,0.327,0.105,-4.643,0.002,133.998,1,5,0.038,4,91,10714872,0OEFCukZ3T0FDRbJbyCh3c
Doghe Lutuya Rangbahar,Suresh Wadkar|Uttara Kelkar,/artist/suresh-wadkar|/artist/uttara-kelkar,289000,Marathi,05-03-2017,0.41,1,0.54,0.338,-2.082,0.0091,137.946,0,7,0.0699,4,96,742031,0Yd9Ke2NRdM6EehBQOd25q
Jhunjur Munjur,Asha Bhosle,/artist/asha-bhosle-1,328000,Marathi,02-10-2006,0.92,0.515,0.852,0.376,-11.439,0.092,137.975,0,6,0.07,4,80,8730698,7JryEOq8gBMwE1LLksiryj
Aga Imala,Usha Mangeshkar|Mahendra Kapoor,/artist/usha-mangeshkar-2|/artist/mahendra-kapoor,209000,Marathi,05-04-2013,0.25,0.96,0.855,0.404,-5.247,0,127.919,1,0,0.0915,4,68,8656401,3EemyJZR2lXIP7K0SZZsq3
Mala He Dattaguru Disale,Asha Bhosle,/artist/asha-bhosle-1,189000,Marathi,08-06-2022,0.51,0.105,0.32,0.583,-11.987,0.071,137.956,1,1,0.04,4,90,183053,1F12eBzuY0AnHVGciLaf1U
Hasnar Kadhi Bolnar Kadhi,Anuradha Paudwal|Suresh Wadkar,/artist/anuradha-paudwal-2|/artist/suresh-wadkar,230000,Marathi,07-12-2009,0.58,0.6,0.555,0.622,-12.226,0.03,133.981,0,6,0.022,4,42,8892932,1R25afOSUcp4l5WrJT70hq
Tula Pahate Re Tula Pahate,Asha Bhosle,/artist/asha-bhosle-1,198000,Marathi,04-11-2016,0.42,0.326,0.377,0.823,-13.577,0.0392,128.003,1,6,0.04,4,49,10206916,3HSNBQgSlMf9VwhK3G5hRe
Dhundi Kalyana,Sudhir Phadke|Asha Bhosle,/artist/sudhir-phadke|/artist/asha-bhosle-1,218000,Marathi,12-01-2024,0.22,0.67,0.548,0.583,-8.65,0.0792,136.011,1,9,0.0889,4,69,3811392,3qdMMDpmv5njU2dY77X9Qx
Mala Pariche Pankh Milale,Anuradha Paudwal,/artist/anuradha-paudwal-2,349000,Marathi,09-12-2014,0.55,0.18,0.626,0.882,-4.591,0.0832,137.954,0,4,0.089,4,56,9567362,1YNhoD9wDWDekufEtC511B
Gorya Dehavarti,Ravindra|Usha Mangeshkar,/artist/ravindra|/artist/usha-mangeshkar-2,265000,Marathi,01-03-2003,0.09,0.407,0.057,0.395,-11.693,0.066,137.986,1,0,0.0558,4,46,11059237,4WzcNK5dKSJL2VktYU83hM
Manuja Jaag Jara,Suresh Wadkar|Sachin,/artist/suresh-wadkar|/artist/sachin,319000,Marathi,10-06-2000,0.76,0.859,0.089,0.971,-9.044,0.0608,136.059,1,1,0.046,4,67,1143053,04AExscvNs2qFKgVxsLqC5
Mala Lagali Kunachi Uchaki,Usha Mangeshkar,/artist/usha-mangeshkar-2,183000,Marathi,05-05-2003,0.77,0.56,0.068,0.472,-7.246,0.055,137.593,0,9,0.0067,4,99,9839459,5pKGRt4TkVUgCsZbyerili
Aala Aala Vara,Asha Bhosle|Anuradha Paudwal,/artist/asha-bhosle-1|/artist/anuradha-paudwal-2,308000,Marathi,12-09-2019,0.06,0.684,0.628,0.749,-9.676,0.08,137.963,1,8,0.08,4,88,2258548,3EVtH0QNldqN4Aytmkh1Zc
Datun Kanth Yeto,Dr. Vasantrao Deshpande,/artist/dr-vasantrao-deshpande-1,358000,Marathi,08-12-2021,0.84,0.14,0.739,0.779,-3.561,0.043,130.025,0,2,0.07,4,80,7329654,0MiPSO01lyaTWRonciwrck
Aami Thakar Thakar,Ravindra Sathe,/artist/ravindra-sathe,341000,Marathi,10-12-2012,0.81,0.26,0.127,0.389,-12.224,0.0387,130.089,1,1,0.09,4,46,6701878,4s10jaUEwlVhXsgsfS9eia
Mangalashtake,Krishna Shinde,/artist/krishna-shinde,424000,Marathi,09-02-2015,0.55,0.922,0.927,0.553,-8.042,0.05,138.005,1,7,0.0281,4,66,8314864,2M4R2Nm4GWqm4bT4h4S1xf
